date,return,market_regime,n_positions,cumulative
2022-08-03,0.0023165781782751903,BEAR,50,1.3843641682356367
2022-08-04,-0.005911822354122329,BEAR,50,1.3761800531996153
2022-08-05,0.0016474224609793037,BEAR,48,1.378447203129608
2022-08-08,0.0024910381952278817,BEAR,48,1.3818809677627089
2022-08-09,0.003016234809988495,BEAR,48,1.3860490452409353
2022-08-10,0.006922467656507509,BEAR,48,1.395643924926949
2022-08-11,-0.004003078525914552,BEAR,48,1.3900570527012508
2022-08-12,0.008682897470240697,BEAR,49,1.4021267755676408
2022-08-15,-0.0012929206493257391,BEAR,49,1.400313936906537
2022-08-16,0.001960134535977922,BEAR,49,1.4030587406154786
2022-08-17,-0.001144696451203563,BEAR,49,1.401452664254266
2022-08-18,0.001016594049914086,BEAR,49,1.402877372693983
2022-08-19,-0.002743047375580015,BEAR,60,1.399029213598554
2022-08-22,-0.007627464004818042,BEAR,60,1.388358168630142
2022-08-23,0.001423810580490601,BEAR,60,1.3903349276801482
2022-08-24,0.002632103876742854,BEAR,60,1.3939944336332664
2022-08-25,0.0027461857878636727,BEAR,60,1.397822601335271
2022-08-26,-0.01498953047338108,BEAR,46,1.3768698968561752
2022-08-29,-0.002215364636220818,BEAR,46,1.373819627978003
2022-08-30,-0.00763802044976801,BEAR,46,1.3633263655652144
2022-08-31,-0.0036516967626997344,BEAR,46,1.3583479110895766
2022-09-01,-0.00217926632115066,BEAR,46,1.3553877092345339
2022-09-02,-0.004013561881416381,BEAR,39,1.34994777679021
2022-09-06,-0.0027948177734045147,BEAR,39,1.3461749187504688
2022-09-07,0.01017208874677857,BEAR,39,1.359868329492686
2022-09-08,0.00031569441897282084,BEAR,39,1.3602976323348448
2022-09-09,0.0038318215917694377,BEAR,39,1.3655100501736583
2022-09-12,0.002495275844354673,BEAR,62,1.3689173744170802
2022-09-13,-0.018181533049996708,BEAR,62,1.3440283579314014
2022-09-14,0.00740186492189962,BEAR,62,1.3539766742880122
2022-09-15,-0.005539226553176768,BEAR,62,1.346476690741414
2022-09-16,-0.0006607894951150998,BEAR,62,1.3455869530887548
2022-09-19,0.002433258677946744,BEAR,51,1.34886111421929
2022-09-20,-0.008279426041236805,BEAR,51,1.337693318384211
